COURSE NO.,COURSE TITLE,"CREDITLPU","SEC","INSTRUCTOR-IN-CHARGE/Instructor",ROOM,DAYS,HOURS,"COMMONHOURDHR","COMPREDATE &SESSION",Unnamed: 12
BIO F110,BIOLOGY LABORATORY,0-,2,1,1,RUCHI JAIN DEY,A122,M,7 8,
,,,,,2,Gireesha T Mohannath,A122,M,4 5,
,,,,,3,Ruchi Jain Dey,A122,W,7 8,
,,,,,4,Vidya Rajesh,A122,Th,4 5,
,,,,,5,Lavanya S,A122,W,4 5,
,,,,,6,Anjali Gangwar,A122,M,2 3,
,,,,,7,Lavanya S,A122,F,4 5,
,,,,,8,Anjali Gangwar,A122,W,2 3,
,,,,,9,Srikanth C S,A122,T,4 5,
,,,,,10,TO BE ANNOUNCED,A122,F,2 3,
,,,,,11,Srikanth C S,A122,S,4 5,
BIO F111,GENERAL BIOLOGY,3,-,3,1,Vivek Sharma,F104,M W F,1,03/12 FN
,,,,,,Trinath Jamma,,,,
,,,,,2,GIREESHA T MOHANNATH,F105,M W F,9,
,,,,,,Sridev Mohapatra,,,,
,Tutorial,,,,1,Vivek Sharma,G101,F,7,
,,,,,2,Debashree B,G102,T,8,
,,,,,3,V Ramakrishna,G103,T,8,
,,,,,4,Gireesha T Mohannath,G104,F,7,
,,,,,5,Trinath Jamma,G105,T,8,
,,,,,6,Sridev Mohapatra,G202,T,8,
,,,,,7,Jayati Ray Dutta,G107,T,8,
,,,,,8,Jayati Ray Dutta,G107,F,7,
,,,,,9,Vidya Rajesh,G108,T,8,
BIO F211,BIOLOGICAL CHEMISTRY,3,-,3,1,DEBASHREE B,G104,M W F,3,13/12 FN
,Tutorial,,,,,Debashree B,I113,T,1,
BIO F212,MICROBIOLOGY,3,1,4,1,RUCHI JAIN DEY,G104,T Th S,4,04/12 AN
COURSE NO.,COURSE TITLE,"CREDITLPU","SEC","INSTRUCTOR-IN-CHARGE/Instructor",ROOM,DAYS,HOURS,"COMMONHOURDHR","COMPREDATE &SESSION",Unnamed: 12
,Practical,,,,,Neelima Christopher,A123,M,6 7 8,
BIO F213,CELL BIOLOGY,3,-,3,1,JAYATI RAY DUTTA,G104,M W F,2,06/12 FN
,Tutorial,,,,,Jayati Ray Dutta,G201,Th,1,
BIO F214,INTEGRATED BIOLOGY,3,-,3,1,SUMAN KAPUR,G104,T Th,6,11/12 AN
,,,,,,Suman Kapur,G104,S,5,
,Tutorial,,,,,Neelima Christopher,I113,S,1,
BIO F266,STUDY PROJECT,-,-,3,1,TRINATH JAMMA,,,,
BIO F311,RECOMBINANT DNA TECH,3,-,3,1,VIDYA RAJESH,G104,M W F,5,09/12 AN
,Tutorial,,,,,Vidya Rajesh,G107,W,1,
BIO F312,PLANT PHYSIOLOGY,3,-,3,1,SRIDEV MOHAPATRA,G104,M W F,4,14/12 AN
,Tutorial,,,,,Sridev Mohapatra,G101,Th,7,
BIO F313,ANIMAL PHYSIOLOGY,3,-,3,1,PRAGYA KOMAL,G104,M W F,9,02/12 AN
,Tutorial,,,,,Srikanth C S,G107,M,1,
BIO F352,CELL & TISSUE CULTR TECH,3,1,4,1,K  PRANAV NARAYAN,G105,M W F,2,06/12 AN
,Practical,,,,,Dhansri Krishnamurthy,A121,Th,8 9,
BIO F366,LABORATORY PROJECT,-,-,3,1,TRINATH JAMMA,,,,
BIO F367,LABORATORY PROJECT,-,-,3,1,TRINATH JAMMA,,,,
BIO F376,DESIGN PROJECT,-,-,3,1,TRINATH JAMMA,,,,
BIO F377,DESIGN PROJECT,-,-,3,1,TRINATH JAMMA,,,,
BIO F411,LABORATORY,-,3,3,1,P SANKAR GANESH,A123,T Th,7 8 9,
BIO F418,GENETIC ENGINEERING TECH,1,3,4,1,NAGA MOHAN K,G106,F,5,14/12 FN
,Practical,,,,1,Vivek Sharma,A124,M W,4 5 6,
,,,,,,Pranay Amruth Maroju,,,,
,,,,,2,Pragya Komal,A124,T Th,6 7 8,
,,,,,,Rolly Kumari,,,,
BIO G512,MOLEC MECH OF GENE EXPRE,3,2,5,1,VIVEK SHARMA,G103,T Th S,2,03/12 AN
,,,,,,Gireesha T Mohannath,,,,
COURSE NO.,COURSE TITLE,"CREDITLPU","SEC","INSTRUCTOR-IN-CHARGE/Instructor",ROOM,DAYS,HOURS,"COMMONHOURDHR","COMPREDATE &SESSION",Unnamed: 12
,Practical,,,,1,Gargi Prasad S,A124,M F,8 9,
